"Pathway","Max_ES","GSEA_pvalue","T2_pvalue"
"HALLMARK_ADIPOGENESIS",0.140920914207506,0.9915,0.00948449104293614
"HALLMARK_ALLOGRAFT_REJECTION",-0.639618114384972,0.0061,0.00288645443744473
"HALLMARK_ANDROGEN_RESPONSE",0.215851326824077,0.6307,0.00933888323009624
"HALLMARK_ANGIOGENESIS",0.339708675778106,0.3725,0.00381068665695738
"HALLMARK_APICAL_JUNCTION",-0.340238890722682,0.0833,0.0117411453231804
"HALLMARK_APICAL_SURFACE",-0.350776311295099,0.1753,0.00893655377195368
"HALLMARK_APOPTOSIS",-0.276762057727421,0.185,0.00304389831208707
"HALLMARK_BILE_ACID_METABOLISM",-0.164272234380342,0.9622,0.0998469500059214
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",-0.341959910435909,0.2304,0.0713901291002995
"HALLMARK_COAGULATION",-0.278209743878639,0.3361,0.177893458558595
"HALLMARK_COMPLEMENT",-0.414437274888527,0.0436,0.240627813544744
"HALLMARK_DNA_REPAIR",0.354455074572819,0.0763,0.000288397715678568
"HALLMARK_E2F_TARGETS",0.357505541911224,0.4494,0.00678171325825749
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.228553738250893,0.7341,0.108936142987999
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.24259005075277,0.577,0.00100231611126955
"HALLMARK_ESTROGEN_RESPONSE_LATE",-0.171937841328081,0.9092,0.0449173163987475
"HALLMARK_FATTY_ACID_METABOLISM",0.168787048094663,0.9365,0.127917338758224
"HALLMARK_G2M_CHECKPOINT",0.29345898388543,0.5061,0.000512467183118481
"HALLMARK_GLYCOLYSIS",0.174931294139334,0.8944,0.0114546333705402
"HALLMARK_HEDGEHOG_SIGNALING",-0.327189609063629,0.2904,0.0372044899504438
"HALLMARK_HEME_METABOLISM",-0.234261609394692,0.2387,0.0341202511393577
"HALLMARK_HYPOXIA",-0.28410747731006,0.2652,0.0112247475938073
"HALLMARK_IL2_STAT5_SIGNALING",-0.41077224141903,0.0093,0.010990720217432
"HALLMARK_IL6_JAK_STAT3_SIGNALING",-0.572882562579847,0.0027,0.0046834150209808
"HALLMARK_INFLAMMATORY_RESPONSE",-0.507189865606485,0.0123,0.269030150792501
"HALLMARK_INTERFERON_ALPHA_RESPONSE",-0.621515808008395,0.0809,0.0150096941374107
"HALLMARK_INTERFERON_GAMMA_RESPONSE",-0.622359960695274,0.0277,0.17721746328133
"HALLMARK_KRAS_SIGNALING_DN",-0.338755631113341,0.0689,0.282233480334419
"HALLMARK_KRAS_SIGNALING_UP",-0.396674840054073,0.0325,0.0217766402474548
"HALLMARK_MITOTIC_SPINDLE",-0.201957620222546,0.6946,0.00373529721577426
"HALLMARK_MTORC1_SIGNALING",-0.166694041387266,0.9443,0.0548822798323616
"HALLMARK_MYC_TARGETS_V1",0.175867632873112,0.9062,0.0260832472857628
"HALLMARK_MYC_TARGETS_V2",-0.308143201728003,0.5669,0.0670783567402913
"HALLMARK_MYOGENESIS",-0.201617724277366,0.7521,0.0587579483216194
"HALLMARK_NOTCH_SIGNALING",0.224444540136081,0.8137,0.000484876552695468
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.369659495540354,0.2107,0.127997046553394
"HALLMARK_P53_PATHWAY",-0.277257062987898,0.074,0.44064015790757
"HALLMARK_PANCREAS_BETA_CELLS",-0.196180354490842,0.9295,0.00441147947634957
"HALLMARK_PEROXISOME",0.181207428475607,0.9031,1.91630490330441e-05
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",-0.335329068599293,0.0586,0.00335721145328016
"HALLMARK_PROTEIN_SECRETION",0.39742001921163,0.074,0.000720653021202944
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",-0.219764088707152,0.7656,0.0139214014571365
"HALLMARK_SPERMATOGENESIS",0.222676820066433,0.6395,0.000614195679236818
"HALLMARK_TGF_BETA_SIGNALING",-0.305481695342947,0.4126,0.00173999592023022
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",-0.497607482514504,0.0229,0.0506202054919971
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",-0.237908519885844,0.5439,0.000384274264169093
"HALLMARK_UV_RESPONSE_DN",-0.254589675212853,0.4441,0.0221240032400578
"HALLMARK_UV_RESPONSE_UP",-0.289949163386544,0.1948,0.388648817597409
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",-0.319926354618692,0.3771,0.00223131220805095
"HALLMARK_XENOBIOTIC_METABOLISM",-0.245206540957262,0.3038,0.00265025940234742
